context_small,context_large,word,prev,prev_fav,fol,fol_fav,frequency,freq_log_ppm,count,frequency_ppm,hapax,stress,fav_num
? donde me tenias tu claridad e,ziente sol? donde me tenias tu claridad escondida auia rato que es,claridad,u,no,a,yes,102.32870905024339,4.628190269463956,7,102.32870905024339,no,stressed,4
? donde me tenias tu claridad e,ziente sol? donde me tenias tu claridad escondida auia rato que es,claridad,u,no,a,yes,102.32870905024339,4.628190269463956,7,102.32870905024339,no,stressed,0
a. mira la luna quan clara s,n tu venida. mira la luna quan clara se nos muestra. mira las n,clara,n,no,a,yes,292.36774014355257,5.678012393962634,20,292.36774014355257,no,stressed,0
a. mira la luna quan clara s,n tu venida. mira la luna quan clara se nos muestra. mira las n,clara,n,no,a,yes,292.36774014355257,5.678012393962634,20,292.36774014355257,no,stressed,3
uaue murmurio zurrio lleua: ,anto mas suaue murmurio zurrio lleua: por entre las frescas yer,lleua,o,yes,e,yes,453.1699972225065,6.116267324893789,31,453.1699972225065,no,stressed,4
ga: tornaste loca de plazer: ,"ientes amiga: tornaste loca de plazer: dexamele, no me le desped",plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
ga: tornaste loca de plazer: ,"ientes amiga: tornaste loca de plazer: dexamele, no me le desped",plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
mio: no me ocupes mi plazer. ,lo que es mio: no me ocupes mi plazer. CAL.--pues senora e glori,plazer,i,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
mio: no me ocupes mi plazer. ,lo que es mio: no me ocupes mi plazer. CAL.--pues senora e glori,plazer,i,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
nestas burlas me dan plazer: ,to: tus honestas burlas me dan plazer: tus deshonestas manos me ,plazer,n,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
nestas burlas me dan plazer: ,to: tus honestas burlas me dan plazer: tus deshonestas manos me ,plazer,n,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
ue quita primero las plumas. ,comer el aue quita primero las plumas. LUCR.--mala landre me mat,plumas,s,no,u,no,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,0
ue quita primero las plumas. ,comer el aue quita primero las plumas. LUCR.--mala landre me mat,plumas,s,no,u,no,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,1
 mi padre. Mi bien e plazer t,la casa de mi padre. Mi bien e plazer todo es ydo en humo. mi al,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
 mi padre. Mi bien e plazer t,la casa de mi padre. Mi bien e plazer todo es ydo en humo. mi al,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
mor? que es esso que lloras t,"izes, mi amor? que es esso que lloras tan sin mesura? TRIST.--ll",lloras,e,yes,o,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,0
mor? que es esso que lloras t,"izes, mi amor? que es esso que lloras tan sin mesura? TRIST.--ll",lloras,e,yes,o,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,2
--lloro mi gran mal. lloro m,ra? TRIST.--lloro mi gran mal. lloro mis muchos dolores. Cayo m,lloro,.,no,o,yes,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,0
--lloro mi gran mal. lloro m,ra? TRIST.--lloro mi gran mal. lloro mis muchos dolores. Cayo m,lloro,.,no,o,yes,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,5
" Sosia, dessos pies; lleuemos e",". Toma tu, Sosia, dessos pies; lleuemos el cuerpo de nuestro queri",lleuemos,;,no,e,yes,14.618387007177628,2.6822801204086426,1,14.618387007177628,yes,stressed,0
r; vaya con nosotros llanto: , este lugar; vaya con nosotros llanto: acompanenos soledad: siga,llanto,s,no,a,yes,87.71032204306577,4.474039589636697,6,87.71032204306577,no,stressed,0
r; vaya con nosotros llanto: , este lugar; vaya con nosotros llanto: acompanenos soledad: siga,llanto,s,no,a,yes,87.71032204306577,4.474039589636697,6,87.71032204306577,no,stressed,2
n tarde alcanzado el plazer: ,triste. tan tarde alcanzado el plazer: tan presto venido el dolo,plazer,l,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
n tarde alcanzado el plazer: ,triste. tan tarde alcanzado el plazer: tan presto venido el dolo,plazer,l,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
s cabellos: agora en plazer: ,i meses tus cabellos: agora en plazer: agora en tristeza. que pl,plazer,n,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
s cabellos: agora en plazer: ,i meses tus cabellos: agora en plazer: agora en tristeza. que pl,plazer,n,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
ora en tristeza. que planeta h,plazer: agora en tristeza. que planeta houo que tan presto contra,planeta,e,yes,a,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,1
uiste osadia para el plazer. ,a: pues touiste osadia para el plazer. MELIB.--oyes lo que aquel,plazer,l,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
uiste osadia para el plazer. ,a: pues touiste osadia para el plazer. MELIB.--oyes lo que aquel,plazer,l,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
es cantares? Rezando lleuan c, sus tristes cantares? Rezando lleuan con responso mi bien todo.,lleuan,o,yes,e,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,4
mi bien todo. muerta lleuan m, responso mi bien todo. muerta lleuan mi alegria. No es tiempo d,lleuan,a,yes,e,yes,58.47354802871051,4.068574481528533,4,58.47354802871051,no,stressed,4
te en el huerto: que plazer s,era hallarte en el huerto: que plazer sentiste con la venida: ni,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
te en el huerto: que plazer s,era hallarte en el huerto: que plazer sentiste con la venida: ni,plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
"amara, acostarte as: llamare a","os en la camara, acostarte as: llamare a tu padre e fingiremos ot",llamare,:,no,a,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,0
"amara, acostarte as: llamare a","os en la camara, acostarte as: llamare a tu padre e fingiremos ot",llamare,:,no,a,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,1
NTENO AUTO. Lucrecia llama a,TO DEL VEYNTENO AUTO. Lucrecia llama a la puerta de la camara d,llama,a,yes,a,yes,1257.1812826172759,7.13662741666215,86,1257.1812826172759,no,stressed,0
NTENO AUTO. Lucrecia llama a,TO DEL VEYNTENO AUTO. Lucrecia llama a la puerta de la camara d,llama,a,yes,a,yes,1257.1812826172759,7.13662741666215,86,1257.1812826172759,no,stressed,8
"eda ver el gesto con claridad.""","rque le pueda ver el gesto con claridad."" Que es esto, hija mia: q",claridad,n,no,a,yes,102.32870905024339,4.628190269463956,7,102.32870905024339,no,stressed,4
"eda ver el gesto con claridad.""","rque le pueda ver el gesto con claridad."" Que es esto, hija mia: q",claridad,n,no,a,yes,102.32870905024339,4.628190269463956,7,102.32870905024339,no,stressed,0
e passion: que a los flacos c,nfermedad e passion: que a los flacos corazones el dolor los arg,flacos,s,no,a,yes,73.09193503588814,4.291718032842743,5,73.09193503588814,no,stressed,0
e passion: que a los flacos c,nfermedad e passion: que a los flacos corazones el dolor los arg,flacos,s,no,a,yes,73.09193503588814,4.291718032842743,5,73.09193503588814,no,stressed,1
? MELIB.--vna mortal llaga e,ue sientes? MELIB.--vna mortal llaga en medio del corazon: que ,llaga,l,no,a,yes,365.4596751794407,5.901155945276844,25,365.4596751794407,no,stressed,0
? MELIB.--vna mortal llaga e,ue sientes? MELIB.--vna mortal llaga en medio del corazon: que ,llaga,l,no,a,yes,365.4596751794407,5.901155945276844,25,365.4596751794407,no,stressed,6
cedad toda suele ser plazer e,gez. La mocedad toda suele ser plazer e alegria: enemiga de enoj,plazer,r,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
cedad toda suele ser plazer e,gez. La mocedad toda suele ser plazer e alegria: enemiga de enoj,plazer,r,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
"a. Cata, si huyes de plazer: ","ara tu pena. Cata, si huyes de plazer: no ay cosa mas contraria ",plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
"a. Cata, si huyes de plazer: ","ara tu pena. Cata, si huyes de plazer: no ay cosa mas contraria ",plazer,e,yes,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
" MELIB.--mas si a ti plazera, "," nosotros. MELIB.--mas si a ti plazera, padre mio, mandar traer a",plazera,i,no,a,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,0
" MELIB.--mas si a ti plazera, "," nosotros. MELIB.--mas si a ti plazera, padre mio, mandar traer a",plazera,i,no,a,yes,29.236774014355255,3.3754273009685876,2,29.236774014355255,no,stressed,1
gripina: por solo su plazer h,su madre Agripina: por solo su plazer hizo matar. Estos son dign,plazer,u,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,0
gripina: por solo su plazer h,su madre Agripina: por solo su plazer hizo matar. Estos son dign,plazer,u,no,a,yes,1140.234186559855,7.038988947098234,78,1140.234186559855,no,stressed,31
nica fija: mi fin es llegado. ,te de tu vnica fija: mi fin es llegado. Llegado es mi descanso e ,llegado,s,no,e,yes,73.09193503588814,4.291718032842743,5,73.09193503588814,no,stressed,0
scanso e tu passion. llegado e,o es mi descanso e tu passion. llegado es mi aliuio e tu pena. ll,llegado,.,no,e,yes,73.09193503588814,4.291718032842743,5,73.09193503588814,no,stressed,0
mi aliuio e tu pena. llegada e,legado es mi aliuio e tu pena. llegada es mi acompanada hora e tu,llegada,.,no,e,yes,73.09193503588814,4.291718032842743,5,73.09193503588814,no,stressed,0
mi aliuio e tu pena. llegada e,legado es mi aliuio e tu pena. llegada es mi acompanada hora e tu,llegada,.,no,e,yes,73.09193503588814,4.291718032842743,5,73.09193503588814,no,stressed,2
o la interrumpas con lloro n,partida. No la interrumpas con lloro ni palabras: si no quedara,lloro,n,no,o,yes,190.03903109330915,5.247229477870179,13,190.03903109330915,no,stressed,0
